to eat	ate	_midias/_audios/F_Audio_001.mp3	_midias/_audios/B_Audio_001.mp3	Audio_001
I <b>eat</b> fish.	I <b>ate</b> fish.	_midias/_audios/F_Audio_002.mp3	_midias/_audios/B_Audio_002.mp3	Audio_002
You <b>eat</b> rice.	You <b>ate</b> rice.	_midias/_audios/F_Audio_003.mp3	_midias/_audios/B_Audio_003.mp3	Audio_003
He <b>eats</b> beans.	He <b>ate</b> beans.	_midias/_audios/F_Audio_004.mp3	_midias/_audios/B_Audio_004.mp3	Audio_004
I <b>eat</b> bread in the morning.	I <b>ate</b> bread in the morning.	_midias/_audios/F_Audio_005.mp3	_midias/_audios/B_Audio_005.mp3	Audio_005
to drink.	drank	_midias/_audios/F_Audio_006.mp3	_midias/_audios/B_Audio_006.mp3	Audio_006
I <b>drink</b> water.	I <b>drank</b> water.	_midias/_audios/F_Audio_007.mp3	_midias/_audios/B_Audio_007.mp3	Audio_007
You <b>drink</b> milk.	You <b>drank</b> milk.	_midias/_audios/F_Audio_008.mp3	_midias/_audios/B_Audio_008.mp3	Audio_008
He <b>drinks</b> juice.	He <b>drank</b> juice.	_midias/_audios/F_Audio_009.mp3	_midias/_audios/B_Audio_009.mp3	Audio_009
I <b>drink</b> milk for breakfast.	I <b>drank</b> milk for breakfast.	_midias/_audios/F_Audio_010.mp3	_midias/_audios/B_Audio_010.mp3	Audio_010
She <b>drinks</b> milk for breakfast.	She <b>drank</b> milk for breakfast.	_midias/_audios/F_Audio_011.mp3	_midias/_audios/B_Audio_011.mp3	Audio_011
to like	Lik<b>ed</b>	_midias/_audios/F_Audio_012.mp3	_midias/_audios/B_Audio_012.mp3	Audio_012
I <b>like</b> pizza.	I lik<b>ed</b> pizza.	_midias/_audios/F_Audio_013.mp3	_midias/_audios/B_Audio_013.mp3	Audio_013
He <b>likes</b> orange juice.	He lik<b>ed</b>orange juice.	_midias/_audios/F_Audio_014.mp3	_midias/_audios/B_Audio_014.mp3	Audio_014
You <b>like</b> to go to the mall.	You lik<b>ed</b> to go to the mall.	_midias/_audios/F_Audio_015.mp3	_midias/_audios/B_Audio_015.mp3	Audio_015
He <b>likes</b> to drink coffee in the morning.	He lik<b>ed</b> to drink coffee in the morning.	_midias/_audios/F_Audio_016.mp3	_midias/_audios/B_Audio_016.mp3	Audio_016
to love	lov<b>ed</b>	_midias/_audios/F_Audio_017.mp3	_midias/_audios/B_Audio_017.mp3	Audio_017
I <b>love</b> grape juice.	I lov<b>ed</b> grape juice.	_midias/_audios/F_Audio_018.mp3	_midias/_audios/B_Audio_018.mp3	Audio_018
You <b>love</b> soda.	You lov<b>ed</b> soda.	_midias/_audios/F_Audio_019.mp3	_midias/_audios/B_Audio_019.mp3	Audio_019
He <b>loves</b> apple.	He lov<b>ed</b> apple.	_midias/_audios/F_Audio_020.mp3	_midias/_audios/B_Audio_020.mp3	Audio_020
You <b>love</b> that ice cream.	You lov<b>ed</b> that ice cream.	_midias/_audios/F_Audio_021.mp3	_midias/_audios/B_Audio_021.mp3	Audio_021
He <b>loves</b> that ice cream.	He lov<b>ed</b> that ice cream.			
am	was			
I <b>am</b> a doctor.	I <b>was</b> a doctor.			
is 	was			
He <b>is</b> a doctor.	He <b>was</b> a doctor.			
She <b>is</b> a lawyer.	She <b>was</b> a lawyer.			
are 	were 			
You <b>are</b> the boss.	You <b>were</b> the boss.			
We <b>are</b> at home.	We <b>were</b> at home.			
They <b>are</b> at the mall.	They <b>were</b> at the mall.			
He <b>likes</b> to watch movies with me.	He lik<b>ed</b> to watch movies with me.			
She <b>wants</b> to eat pizza at night.	She want<b>ed</b> to eat pizza at night.			
We <b>are</b> at home every night.	We <b>were</b> at home every night.			
I <b>am</b> a teacher, but I <b>work</b> at a bank.	I <b>was</b> a teacher, but I work<b>ed</b> at a bank.			
She <b>is</b> not a good friend.	She <b>was</b> not a good friend.			
They <b>have</b> a lot of friends in the USA.	They <b>had</b> a lot of friends in the USA.			
It <b>is</b> not a dog. It is a cat.	It <b>was</b> not a dog. It <b>was</b> a cat.			
You <b>do</b> not have to go to work.	You <b>did</b> not have to go to work.			
<b>Do</b> you like to buy fruits at the supermarket?	<b>Did</b> you like to buy fruits at the supermarket?			
<b>Does</b> he live with his parents downtown?	<b>Did</b> he live with his parents downtown?			
Why <b>does</b> your mother want to sell her house?	Why <b>did</b> your mother want to sell her house?			
<b>Are</b> your friends at the mall?	<b>Were</b> your friends at the mall?			
<b>Is</b> John a good teacher?	<b>Was</b> John a good teacher?			
<b>Is</b> Mary your best friend?	<b>Was</b> Mary your best friend?			
<b>Are</b> John and Mary married?	<b>Were</b> John and Mary married?			
John and Mary <b>are</b> not married.	John and Mary <b>were</b> not married.			
They <b>are</b> not married, they <b>are</b> good friends.	They <b>were</b> not married, they <b>were</b> good friends.			
